year,sst
1854,19.734377
1855,19.66044
1856,19.474194
1857,19.440535
1858,19.40227
1859,19.591484
1860,19.597319
1861,19.583849
1862,19.19335
1863,19.379171
1864,19.615992
1865,19.665857
1866,19.682928
1867,19.62253
1868,19.618738
1869,19.600246
1870,19.615795
1871,19.560308
1872,19.451906
1873,19.511215
1874,19.56462
1875,19.597164
1876,19.594076
1877,19.973337
1878,20.058466
1879,19.720104
1880,19.657965
1881,19.601183
1882,19.47934
1883,19.334929
1884,19.215391
1885,19.384851
1886,19.625542
1887,19.550095
1888,19.549599
1889,19.572771
1890,19.218573
1891,19.362421
1892,19.2635
1893,19.421284
1894,19.152689
1895,19.286009
1896,19.539993
1897,19.449566
1898,19.454065
1899,19.498388
1900,19.410297
1901,19.410833
1902,19.269657
1903,19.05541
1904,18.876305
1905,18.993383
1906,19.245014
1907,19.021967
1908,19.148445
1909,19.098991
1910,19.11199
1911,19.126198
1912,19.009586
1913,19.000942
1914,19.098516
1915,19.565031
1916,19.334003
1917,19.230476
1918,19.157467
1919,19.309475
1920,19.134153
1921,19.303095
1922,19.109192
1923,19.131704
1924,19.2765
1925,19.257265
1926,19.513626
1927,19.570662
1928,19.430109
1929,19.355597
1930,19.452574
1931,19.688353
1932,19.755861
1933,19.731081
1934,19.541878
1935,19.525719
1936,19.634966
1937,19.825796
1938,19.649582
1939,19.62028
1940,19.914305
1941,19.938484
1942,19.809908
1943,19.613747
1944,19.91916
1945,19.946798
1946,19.463564
1947,19.357613
1948,19.497501
1949,19.614483
1950,19.470867
1951,19.754137
1952,19.802458
1953,19.77577
1954,19.56482
1955,19.722488
1956,19.498705
1957,19.565332
1958,19.744238
1959,19.570951
1960,19.731323
1961,19.715052
1962,19.639515
1963,19.559984
1964,19.451057
1965,19.410828
1966,19.58764
1967,19.475925
1968,19.406105
1969,19.556658
1970,19.473572
1971,19.318407
1972,19.20569
1973,19.452288
1974,19.17831
1975,19.415274
1976,19.343218
1977,19.508057
1978,19.532446
1979,19.628061
1980,19.693686
1981,19.69587
1982,19.465109
1983,19.662024
1984,19.517786
1985,19.414719
1986,19.361332
1987,19.802174
1988,19.744217
1989,19.683376
1990,19.693264
1991,19.537693
1992,19.429232
1993,19.47291
1994,19.498808
1995,19.87764
1996,19.689857
1997,19.843538
1998,20.129763
1999,19.947983
2000,19.84432
2001,19.97421
2002,19.87885
2003,20.063393
2004,20.065855
2005,20.227594
2006,20.21068
2007,20.07517
2008,20.118933
2009,19.929167
2010,20.342112
2011,20.049913
2012,20.205286
2013,20.127068
2014,20.044731
2015,20.024961
2016,20.266058
2017,20.340658
2018,20.04228
2019,20.186049
2020,20.349693
2021,20.330225
2022,20.35974
2023,20.723886
2024,20.814531
2025,18.373655
2035,20.095203
