year,sst
1854,18.225618
1855,18.171741
1856,18.30726
1857,18.939127
1858,18.804285
1859,19.114204
1860,18.50995
1861,18.592367
1862,18.181868
1863,18.774647
1864,18.639498
1865,18.769358
1866,18.74085
1867,18.544441
1868,18.595095
1869,18.811647
1870,18.812374
1871,18.598217
1872,18.913988
1873,18.67884
1874,18.542664
1875,18.966333
1876,18.402805
1877,18.908157
1878,19.04141
1879,18.378077
1880,19.19259
1881,18.547213
1882,18.608757
1883,18.296564
1884,18.555853
1885,18.410295
1886,18.398006
1887,18.260958
1888,17.997976
1889,18.544523
1890,18.164387
1891,18.083853
1892,18.074432
1893,18.633463
1894,18.419611
1895,18.251547
1896,18.354362
1897,18.441406
1898,18.430986
1899,18.859602
1900,18.6972
1901,18.58202
1902,17.860918
1903,18.062597
1904,17.893013
1905,17.870916
1906,17.98834
1907,17.947601
1908,18.218851
1909,18.063032
1910,18.315886
1911,18.167122
1912,18.164583
1913,18.453775
1914,18.376919
1915,18.36799
1916,18.401766
1917,18.40078
1918,18.062464
1919,17.928698
1920,18.478775
1921,18.801739
1922,18.201185
1923,17.99959
1924,18.289347
1925,18.329512
1926,18.724878
1927,18.576826
1928,18.421827
1929,18.34076
1930,18.545935
1931,18.394476
1932,18.375282
1933,18.930023
1934,18.792389
1935,18.636679
1936,18.457094
1937,18.848753
1938,18.782478
1939,18.509047
1940,18.215103
1941,18.45452
1942,18.484785
1943,18.753727
1944,18.821571
1945,19.154257
1946,18.556545
1947,18.7036
1948,18.40399
1949,18.93233
1950,18.649805
1951,18.303223
1952,18.46504
1953,18.74696
1954,18.3524
1955,18.690384
1956,18.150415
1957,18.593737
1958,18.381739
1959,18.970718
1960,18.809298
1961,18.99153
1962,18.599241
1963,18.668556
1964,18.547462
1965,18.465815
1966,18.712389
1967,18.580214
1968,18.743067
1969,18.62358
1970,18.558924
1971,18.654112
1972,18.48894
1973,18.92898
1974,18.636374
1975,18.719406
1976,18.43635
1977,18.505804
1978,18.367949
1979,18.448446
1980,18.534481
1981,18.571241
1982,18.59996
1983,18.549416
1984,18.69652
1985,18.543295
1986,18.400034
1987,18.799185
1988,18.971397
1989,19.094727
1990,19.047304
1991,18.74154
1992,18.625978
1993,18.562962
1994,18.776781
1995,19.02271
1996,18.554398
1997,18.986168
1998,19.181334
1999,19.172335
2000,18.973724
2001,18.991972
2002,19.253237
2003,19.468668
2004,19.230888
2005,19.128027
2006,19.395761
2007,19.366663
2008,19.396563
2009,19.340452
2010,19.068972
2011,19.139923
2012,19.028872
2013,19.055151
2014,19.608152
2015,19.370796
2016,19.6217
2017,19.609865
2018,19.495415
2019,19.688293
2020,19.684172
2021,19.574492
2022,19.747313
2023,20.035707
2024,19.986603
2025,18.000381
2035,19.166962
